"HIT_scenarioID","HIT_healthclaim","HIT_likes","HIT_shares","HIT_profilepic","HIT_profession"

"79","Yoghurt helps you build resistance to common diseases, because it contains probiotics","5700","0","CFD-BF-202-109-N.jpg","Professor"
"611","Yoghurt helps reduce food intake without feeling hungry, because it contains added fibres","5700","30","CFD-AF-238-185-N.jpg","Cook"
"378","Yoghurt keeps you active and going for longer, because it contains slow-release carbohydrates","5700","3600","CFD-AF-223-183-N.jpg","Nurse"
"622","Yoghurt helps reduce food intake without feeling hungry, because it contains added fibres","0","0","CFD-AM-239-147-N.jpg","Nurse"
"534","Yoghurt helps reduce food intake without feeling hungry, because it contains added fibres","0","3600","CFD-BF-251-211-N.jpg","Cook"
"499","Yoghurt helps reduce food intake without feeling hungry, because it contains added fibres","57","0","CFD-WM-248-036-N.jpg","Cook"
"241","Yoghurt keeps you active and going for longer, because it contains slow-release carbohydrates","5700","0","CFD-WF-237-067-N.jpg","Social Media Health Influencer"
"527","Yoghurt helps reduce food intake without feeling hungry, because it contains added fibres","57","30","CFD-BF-228-212-N.jpg","Social Media Health Influencer"
"81","Yoghurt helps you build resistance to common diseases, because it contains probiotics","5700","3600","CFD-BF-202-109-N.jpg","Professor"
"315","Yoghurt keeps you active and going for longer, because it contains slow-release carbohydrates","5700","3600","CFD-BF-228-212-N.jpg","Social Media Health Influencer"
"496","Yoghurt helps reduce food intake without feeling hungry, because it contains added fibres","0","0","CFD-WM-248-036-N.jpg","Cook"
"540","Yoghurt helps reduce food intake without feeling hungry, because it contains added fibres","5700","3600","CFD-BF-251-211-N.jpg","Cook"
"620","Yoghurt helps reduce food intake without feeling hungry, because it contains added fibres","5700","30","CFD-AM-219-101-N.jpg","Professor"
"283","Yoghurt keeps you active and going for longer, because it contains slow-release carbohydrates","57","0","CFD-WM-248-036-N.jpg","Cook"
"359","Yoghurt keeps you active and going for longer, because it contains slow-release carbohydrates","5700","30","CFD-BM-230-232-N.jpg","Cook"
"382","Yoghurt keeps you active and going for longer, because it contains slow-release carbohydrates","57","0","CFD-AF-236-145-N.jpg","Social Media Health Influencer"
"172","Yoghurt helps you build resistance to common diseases, because it contains probiotics","0","0","CFD-AF-238-185-N.jpg","Cook"
"91","Yoghurt helps you build resistance to common diseases, because it contains probiotics","0","0","CFD-BF-228-212-N.jpg","Social Media Health Influencer"
